Year,Region,Region_Code,Population_M,GDP_per_capita_Lakh,Urbanization_Rate,Devices_Per_Person,Recycling_Rate,Ewaste_Tons
2016,Arunachal Pradesh,AR,2.66,1.97,59.94,1.8,11.36,1.94
2013,Tamil Nadu,TN,65.4,2.13,59.18,1.07,11.93,28.92
2015,Bihar,BR,103.34,2.81,27.56,1.79,14.1,50.94
2005,Telangana,TG,37.03,2.23,70.13,0.57,14.52,11.63
2015,Uttarakhand,UK,13.2,1.27,65.95,1.16,6.91,5.12
2009,Odisha,OR,41.31,0.92,64.31,0.35,11.01,3.02
2019,Punjab,PB,31.2,3.37,43.09,1.23,10.54,22.35
2010,Sikkim,SK,1.8,1.91,50.66,1.62,18.62,0.91
2010,Karnataka,KA,54.91,1.52,34.48,1.2,9.83,12.61
2007,Maharashtra,MH,108.07,2.15,32.89,1.28,12.06,33.36
2021,Uttar Pradesh,UP,234.86,7.4,64.27,1.02,16.21,405.87
2016,Delhi,DL,16.07,1.98,63.01,1.55,12.85,10.8
2011,Maharashtra,MH,111.85,2.36,36.5,0.37,17.36,13.23
2009,Uttar Pradesh,UP,205.62,1.84,29.68,1.49,14.22,55.62
2012,Nagaland,NL,2.54,2.63,72.06,0.76,6.15,1.47
2020,Andhra Pradesh,AP,50.71,3.28,67.12,3.02,16.05,118.27
2016,Jammu & Kashmir,JK,15.82,1.35,65.22,0.82,10.56,4.17
2012,Tripura,TR,3.68,1.56,65.86,0.45,17.54,0.66
2015,Maharashtra,MH,119.86,1.99,47.3,0.44,7.6,18.48
2018,Sikkim,SK,2.04,4.09,28.11,2.75,18.52,2.46
2015,Punjab,PB,29.82,2.64,28.82,0.54,16.52,4.44
2008,Manipur,MN,3.54,0.72,44.72,0.55,16.86,0.21
2008,Uttarakhand,UK,12.03,2.12,63.61,1.08,9.98,6.52
2011,Andhra Pradesh,AP,44.99,2.58,48.3,1.63,19.23,30.99
2024,Sikkim,SK,2.14,5.47,50.4,3.17,13.24,6.26
2010,Manipur,MN,3.61,0.84,40.06,1.07,19.86,0.47
2024,Mizoram,MZ,2.17,3.91,44.49,2.31,16.7,2.86
2015,Jharkhand,JH,30.07,1.64,59.98,1.21,12.77,13.51
2022,Meghalaya,ML,4.18,2.52,31.62,3.29,20.15,3.75
2022,Punjab,PB,31.53,4.4,47.04,3.0,19.73,70.66
2015,Odisha,OR,44.66,2.4,47.76,1.24,7.57,25.12
2005,Manipur,MN,3.44,0.83,21.08,0.78,10.13,0.17
2022,Himachal Pradesh,HP,13.76,1.69,59.23,2.37,13.45,10.65
2010,Telangana,TG,38.62,0.84,33.53,0.55,10.62,2.02
2019,Haryana,HR,32.57,3.27,50.81,0.57,18.17,11.13
2015,Meghalaya,ML,3.94,3.2,45.29,0.74,21.81,1.57
2007,Bihar,BR,95.18,2.9,24.63,0.74,13.73,16.5
2015,Kerala,KL,29.12,1.09,58.23,1.48,10.43,9.99
2006,Chhattisgarh,CG,22.69,0.87,27.42,1.08,11.16,2.22
2008,Telangana,TG,37.63,1.67,20.88,0.55,13.18,2.67
2013,Arunachal Pradesh,AR,2.49,1.78,57.77,1.72,14.37,1.59
2014,Karnataka,KA,58.0,3.27,71.01,2.11,16.17,104.43
2005,Tripura,TR,3.47,1.11,52.88,0.5,1.38,0.39
2015,Punjab,PB,29.97,2.65,28.83,0.54,16.58,4.42
2007,Tripura,TR,3.53,0.68,59.01,1.14,15.72,0.54
2006,Jharkhand,JH,26.58,1.45,20.89,1.01,10.42,2.74
2019,Bihar,BR,109.7,1.74,65.35,1.97,20.33,81.85
2013,Himachal Pradesh,HP,12.84,1.93,43.93,1.33,18.61,5.18
2012,Rajasthan,RJ,59.64,3.28,48.96,1.74,10.3,59.2
2010,Maharashtra,MH,110.86,3.15,24.96,0.57,10.05,17.98
2011,Bihar,BR,100.77,2.18,56.6,1.06,11.64,50.35
2010,Telangana,TG,38.59,0.84,33.3,0.55,10.58,2.04
2007,Arunachal Pradesh,AR,2.31,0.82,69.84,1.33,7.88,0.64
2008,Delhi,DL,14.25,1.54,40.67,0.42,3.33,1.49
2008,Karnataka,KA,54.26,0.79,51.57,1.07,17.52,8.35
2021,Punjab,PB,32.25,2.39,45.27,0.98,14.64,12.6
2007,Haryana,HR,27.61,1.5,57.47,0.98,18.73,8.7
2024,Jharkhand,JH,32.2,6.69,63.97,2.91,18.4,158.01
2012,Mizoram,MZ,1.9,1.66,35.24,1.11,8.43,0.42
2013,Rajasthan,RJ,58.96,3.76,28.49,0.39,10.43,9.4
2013,Bihar,BR,100.1,2.03,35.81,0.68,19.27,18.75
2013,Assam,AS,30.37,1.78,65.88,1.73,17.29,22.78
2017,Arunachal Pradesh,AR,2.61,1.74,62.57,2.08,14.04,1.94
2020,Odisha,OR,47.08,2.19,61.72,2.58,9.99,59.5
2011,Rajasthan,RJ,57.2,1.22,50.7,0.92,14.9,12.45
2005,Arunachal Pradesh,AR,2.32,1.04,23.75,1.1,17.22,0.23
2016,Goa,GA,2.61,2.46,69.33,2.02,6.87,3.14
2019,Jharkhand,JH,31.29,3.85,50.77,0.97,9.64,20.3
2014,Sikkim,SK,1.91,2.49,69.38,1.0,19.07,1.12
2020,Maharashtra,MH,126.51,5.79,63.81,1.09,19.42,158.95
2007,Jharkhand,JH,26.68,1.27,38.52,1.23,14.55,6.2
2018,Assam,AS,31.62,3.8,62.69,1.31,11.99,38.06
2024,Andhra Pradesh,AP,53.06,4.83,46.74,2.29,23.28,81.0
2005,Tamil Nadu,TN,59.73,2.33,49.11,0.3,1.4,8.35
2021,Uttarakhand,UK,13.7,2.73,67.15,2.81,21.98,22.77
2024,Meghalaya,ML,4.31,5.45,29.85,3.41,12.47,8.24
2011,Sikkim,SK,1.82,2.57,69.42,0.96,14.46,1.07
2024,Karnataka,KA,64.83,4.67,76.32,2.23,18.23,162.69
2014,Assam,AS,30.15,2.72,24.13,2.16,11.94,17.0
2014,Arunachal Pradesh,AR,2.55,2.37,36.18,1.82,6.49,1.65
2006,Rajasthan,RJ,53.29,1.94,69.49,1.25,16.92,31.44
2012,Chhattisgarh,CG,25.04,3.26,70.06,1.74,16.05,35.83
2006,Karnataka,KA,51.85,1.43,49.39,0.87,15.79,12.49
2007,Manipur,MN,3.47,1.55,23.22,1.36,15.39,0.65
2006,Madhya Pradesh,MP,64.15,1.33,58.14,1.25,5.33,21.57
2014,Tamil Nadu,TN,68.73,3.6,24.8,1.22,17.53,27.8
2008,Bihar,BR,94.35,3.17,23.39,0.45,6.55,11.52
2005,Gujarat,GJ,50.2,1.92,52.57,1.17,11.11,21.48
2005,Haryana,HR,27.35,0.97,26.07,0.49,4.45,1.31
2013,Manipur,MN,3.81,1.44,52.05,1.18,7.75,1.43
2016,Delhi,DL,15.93,1.99,63.25,1.55,12.86,10.72
2009,Himachal Pradesh,HP,11.96,1.48,69.91,0.64,12.19,3.16
2011,Uttar Pradesh,UP,207.96,3.48,23.82,1.38,7.9,95.36
2006,Goa,GA,2.28,1.36,25.33,0.74,17.72,0.21
2021,Telangana,TG,44.1,2.53,29.02,1.41,9.23,18.5
2009,Delhi,DL,14.7,1.56,23.11,1.36,10.02,2.65
2018,Arunachal Pradesh,AR,2.7,2.04,35.52,2.13,8.2,1.61
2018,Meghalaya,ML,4.03,2.14,50.19,2.83,10.87,4.42
2006,Himachal Pradesh,HP,11.4,0.99,28.38,1.02,6.43,1.34
2022,Delhi,DL,16.51,4.34,72.06,1.42,20.31,23.41
2022,Gujarat,GJ,60.78,4.79,67.13,3.22,20.19,233.55
2021,Gujarat,GJ,60.85,3.57,45.25,2.17,19.49,72.71
2024,Rajasthan,RJ,67.48,6.59,72.4,2.99,13.16,319.87
2013,West Bengal,WB,78.34,3.97,61.5,0.57,14.72,41.04
2011,Mizoram,MZ,1.85,0.91,70.5,1.5,13.73,0.7
2021,Odisha,OR,46.33,5.95,70.38,2.17,21.73,134.12
2005,Sikkim,SK,1.74,1.02,52.38,0.31,12.1,0.1
2016,Haryana,HR,31.49,1.11,26.16,1.32,20.18,4.19
2020,Himachal Pradesh,HP,13.63,3.79,35.58,0.89,23.04,6.0
2020,Mizoram,MZ,2.03,4.64,26.16,0.75,10.09,0.68
2021,Gujarat,GJ,61.19,3.58,45.45,2.16,19.44,69.99
2019,Bihar,BR,110.31,1.75,65.49,1.96,20.35,81.98
2021,West Bengal,WB,87.23,4.44,64.55,1.63,9.19,155.29
2005,Goa,GA,2.31,1.31,67.33,1.19,14.04,0.89
2024,Chhattisgarh,CG,29.19,2.69,69.23,4.1,25.48,67.02
2010,Chhattisgarh,CG,24.33,2.38,40.41,0.94,19.03,7.73
2017,Uttar Pradesh,UP,224.72,4.82,56.51,2.04,15.0,443.77
2024,Punjab,PB,33.43,4.37,45.81,3.52,20.29,79.31
2024,Arunachal Pradesh,AR,2.88,5.72,48.72,1.3,20.07,3.3
2017,Jammu & Kashmir,JK,15.58,4.06,54.12,1.65,6.85,21.71
2010,Tripura,TR,3.65,1.31,63.04,1.2,13.63,1.2
2008,Punjab,PB,27.92,1.56,38.53,0.39,9.61,2.59
2019,Meghalaya,ML,4.06,4.37,44.67,2.0,9.32,6.15
2007,Goa,GA,2.31,1.55,35.53,0.9,7.56,0.39
2023,Gujarat,GJ,63.07,4.74,50.9,1.97,17.02,98.71
2016,Delhi,DL,15.96,2.0,63.08,1.55,12.79,10.39
2009,Bihar,BR,96.46,1.82,67.18,1.28,8.97,61.14
2011,Andhra Pradesh,AP,45.05,2.59,48.15,1.63,19.35,30.46
2023,Tripura,TR,4.23,2.04,48.93,2.22,20.12,3.29
2006,Assam,AS,27.56,1.72,54.36,0.9,3.49,8.68
2017,Meghalaya,ML,3.99,2.27,44.51,1.34,8.47,2.21
2021,Bihar,BR,109.18,3.27,73.65,2.08,24.25,187.81
2011,Arunachal Pradesh,AR,2.5,1.88,31.49,0.72,4.54,0.45
2022,Jammu & Kashmir,JK,17.06,5.0,66.92,2.56,22.92,49.23
2011,Rajasthan,RJ,57.05,1.22,50.71,0.92,14.91,12.65
2022,Maharashtra,MH,127.16,3.79,74.82,3.42,18.47,393.6
2006,Madhya Pradesh,MP,63.79,1.32,58.31,1.26,5.3,22.24
2008,Meghalaya,ML,3.51,1.99,58.84,0.74,19.21,1.15
2018,Bihar,BR,105.47,2.81,67.3,0.54,9.5,40.97
2010,Kerala,KL,27.65,2.54,69.55,0.96,12.96,15.64
2022,Arunachal Pradesh,AR,2.85,1.55,64.44,1.54,16.07,1.57
2011,Telangana,TG,39.99,2.69,53.83,0.37,13.85,7.7
2008,Punjab,PB,27.77,1.55,38.55,0.39,9.63,2.51
2014,Kerala,KL,29.63,2.17,69.19,1.73,8.67,28.65
2015,Tripura,TR,3.95,2.32,26.45,1.18,17.83,0.94
2006,Manipur,MN,3.53,1.77,60.28,0.5,13.31,0.63
2011,Tamil Nadu,TN,64.84,1.92,64.19,1.21,16.54,36.82
2016,Haryana,HR,31.74,1.11,26.26,1.32,20.18,4.2
2010,Jammu & Kashmir,JK,14.53,1.83,71.22,0.59,6.58,4.32
2011,Odisha,OR,41.09,2.37,61.15,0.83,15.04,19.65
2015,Manipur,MN,3.86,2.83,34.04,1.09,16.84,1.31
2024,Sikkim,SK,2.13,5.47,50.21,3.18,13.2,6.25
2020,Jharkhand,JH,31.01,2.87,43.13,3.21,21.5,44.92
2017,Tripura,TR,4.03,2.57,33.88,2.37,17.71,2.7
2022,Gujarat,GJ,60.66,4.8,67.31,3.23,20.2,235.9
2018,Chhattisgarh,CG,26.76,3.57,38.09,1.56,12.23,21.79
2012,Odisha,OR,43.19,1.18,26.91,0.91,13.99,4.12
2013,Delhi,DL,14.88,2.72,48.33,1.21,7.5,8.36
2024,Tamil Nadu,TN,74.26,6.98,38.14,1.22,24.4,79.31
2006,West Bengal,WB,72.14,1.59,37.37,1.25,16.41,18.61
2020,Nagaland,NL,2.75,4.78,33.81,2.01,8.03,3.66
2014,Meghalaya,ML,3.9,2.56,45.63,1.87,11.86,2.88
2023,Jharkhand,JH,32.67,5.71,69.44,0.87,24.01,36.58
2014,Andhra Pradesh,AP,47.51,3.17,68.65,0.99,5.78,42.66
2013,Tamil Nadu,TN,65.98,2.13,59.14,1.06,11.88,29.51
2019,Goa,GA,2.7,2.08,61.53,2.33,15.38,3.02
2016,Haryana,HR,31.59,1.11,26.25,1.33,20.15,4.26
2007,Jharkhand,JH,26.52,1.28,38.56,1.22,14.63,6.22
2020,Tamil Nadu,TN,72.71,1.58,62.44,1.03,11.44,25.1
2010,Meghalaya,ML,3.69,0.76,31.43,1.62,17.14,0.49
2013,Uttarakhand,UK,12.6,1.73,35.76,1.65,6.67,4.49
2007,Odisha,OR,40.45,0.75,58.26,0.69,18.35,4.29
2020,Mizoram,MZ,2.02,4.61,26.12,0.75,10.15,0.69
2021,Uttarakhand,UK,13.67,2.73,67.28,2.82,21.93,22.76
2011,Punjab,PB,28.85,0.87,70.1,1.11,14.63,7.11
2017,Andhra Pradesh,AP,49.7,3.1,49.56,2.54,8.7,68.05
2020,Manipur,MN,4.19,2.18,39.42,0.9,18.24,1.14
2008,Andhra Pradesh,AP,43.79,1.57,54.13,0.29,13.73,4.04
2015,Nagaland,NL,2.55,2.39,27.8,0.73,16.67,0.45
2006,Kerala,KL,26.64,0.78,51.92,0.88,3.95,3.83
2021,Assam,AS,33.37,4.41,42.32,2.26,21.31,42.59
2009,Uttar Pradesh,UP,204.98,1.83,29.49,1.49,14.19,53.74
2006,Punjab,PB,26.64,1.54,23.41,1.06,18.34,3.47
2007,Jharkhand,JH,26.59,1.28,38.31,1.22,14.59,6.22
2008,Goa,GA,2.37,1.54,43.8,0.86,6.36,0.5
2024,Maharashtra,MH,131.41,6.9,49.43,3.12,20.91,461.62
2019,Punjab,PB,31.39,3.37,43.27,1.23,10.64,21.74
2018,Jharkhand,JH,30.69,3.53,45.7,1.41,17.56,23.38
2010,Himachal Pradesh,HP,11.99,1.13,23.92,0.64,8.32,0.82
2007,Himachal Pradesh,HP,11.66,0.91,64.11,0.75,9.57,2.07
2017,Manipur,MN,3.89,3.02,69.12,1.06,11.68,3.12
2015,Tripura,TR,3.93,2.32,26.45,1.17,17.74,0.99
2009,Punjab,PB,28.18,2.73,60.68,0.35,7.89,6.57
2013,Kerala,KL,28.88,1.03,62.18,0.73,20.25,4.75
2021,Maharashtra,MH,125.36,3.09,37.18,3.33,11.0,172.08
2009,Delhi,DL,14.63,1.55,23.09,1.36,10.08,2.61
2005,Maharashtra,MH,103.91,2.17,35.74,0.74,18.15,22.53
2024,West Bengal,WB,89.5,3.79,63.26,2.87,11.55,208.85
2013,Uttar Pradesh,UP,219.19,1.78,47.7,1.19,10.85,80.88
2019,Goa,GA,2.69,2.08,61.36,2.34,15.44,3.1
2007,Meghalaya,ML,3.56,1.04,54.9,1.31,7.54,0.94
2009,Assam,AS,28.59,1.38,45.69,0.51,18.94,3.15
2010,Kerala,KL,27.64,2.55,69.31,0.96,12.98,15.42
2012,Karnataka,KA,55.59,1.84,32.78,0.36,14.0,3.96
2006,Andhra Pradesh,AP,43.68,0.89,54.68,0.68,14.53,4.84
2006,Goa,GA,2.28,1.35,25.23,0.74,17.86,0.21
2006,Chhattisgarh,CG,22.71,0.87,27.3,1.08,11.13,2.29
2023,Rajasthan,RJ,66.54,4.12,68.4,3.71,17.34,227.32
2024,Bihar,BR,116.6,5.61,36.53,2.2,13.56,189.9
2005,Jammu & Kashmir,JK,13.47,1.17,58.95,0.43,13.8,1.45
2015,Haryana,HR,30.8,1.53,63.71,1.22,19.06,13.33
2022,West Bengal,WB,88.47,4.92,65.02,2.73,13.22,274.39
2015,Himachal Pradesh,HP,13.01,1.76,44.95,2.35,12.52,8.08
2009,Punjab,PB,28.01,2.72,60.79,0.35,7.9,6.52
2017,Kerala,KL,30.55,1.19,32.54,2.07,9.0,8.99
2023,Chhattisgarh,CG,28.62,5.08,47.92,3.68,24.21,83.47
2024,Bihar,BR,116.9,5.63,36.5,2.2,13.51,188.09
2022,Karnataka,KA,63.94,2.37,53.66,3.42,21.74,92.77
2014,Andhra Pradesh,AP,47.13,3.17,68.6,0.99,5.74,41.23
2014,Madhya Pradesh,MP,69.7,1.63,23.64,1.58,21.01,14.93
2005,Uttarakhand,UK,11.68,1.85,27.1,1.07,11.29,2.06
2018,Arunachal Pradesh,AR,2.71,2.03,35.47,2.13,8.16,1.58
2008,Sikkim,SK,1.73,1.53,60.32,1.38,16.78,0.74
2016,Himachal Pradesh,HP,13.01,2.87,43.96,1.48,7.15,8.59
2013,Manipur,MN,3.84,1.45,52.03,1.18,7.74,1.36
2009,Gujarat,GJ,51.6,0.85,44.22,1.4,13.1,9.78
2009,Uttarakhand,UK,12.14,2.36,69.96,0.5,16.72,3.65
2006,Punjab,PB,26.7,1.53,23.48,1.06,18.21,3.52
2016,Andhra Pradesh,AP,49.4,2.11,34.29,2.43,18.32,29.96
2011,Tripura,TR,3.64,2.76,61.14,1.35,11.42,3.35
2015,Assam,AS,31.17,1.16,40.99,0.98,17.36,5.34
2010,Tamil Nadu,TN,63.33,3.01,30.63,1.46,18.96,29.05
2016,Chhattisgarh,CG,25.71,3.69,36.31,2.44,6.12,29.01
2023,Nagaland,NL,2.86,2.46,33.93,2.17,13.97,1.76
2019,Nagaland,NL,2.73,1.79,61.99,1.71,17.95,1.69
2023,Delhi,DL,16.88,6.0,54.01,1.61,14.92,31.08
2008,Bihar,BR,94.69,3.15,23.38,0.45,6.53,11.66
2022,Uttarakhand,UK,14.29,5.13,50.02,1.64,18.19,19.66
2012,Gujarat,GJ,54.93,2.03,29.35,0.52,16.51,5.78
2013,Assam,AS,30.21,1.79,66.09,1.71,17.26,22.24
2024,Assam,AS,34.36,5.8,68.38,2.01,15.61,100.99
2015,Chhattisgarh,CG,25.39,1.39,31.31,1.71,12.73,6.37
2013,Maharashtra,MH,114.24,2.11,31.76,1.65,17.02,41.17
2006,Kerala,KL,26.64,0.78,51.88,0.88,3.96,3.87
2005,Bihar,BR,90.35,0.83,35.29,0.93,16.07,8.16
2024,Manipur,MN,4.27,3.33,70.6,2.19,24.03,6.64
2007,Manipur,MN,3.46,1.57,23.28,1.36,15.4,0.66
2016,Karnataka,KA,58.91,3.77,29.25,0.45,13.72,11.37
2016,Nagaland,NL,2.56,2.18,72.91,2.29,22.24,3.25
2022,Haryana,HR,33.71,5.49,76.02,2.6,11.86,137.54
2020,Jharkhand,JH,30.88,2.88,42.97,3.22,21.71,45.61
2009,Karnataka,KA,54.94,1.64,50.85,1.18,12.03,20.3
2013,Punjab,PB,29.7,1.12,69.15,1.43,10.88,11.98
2015,Mizoram,MZ,1.94,2.22,59.72,1.05,8.94,0.93
2008,Telangana,TG,37.86,1.66,20.8,0.55,13.11,2.56
2008,Sikkim,SK,1.73,1.52,60.14,1.38,16.8,0.75
2023,Bihar,BR,114.14,4.66,34.29,2.21,20.3,126.43
2022,Chhattisgarh,CG,28.61,3.86,50.06,2.65,18.34,51.34
2020,Tripura,TR,4.03,1.9,44.94,1.01,13.35,1.25
2022,Delhi,DL,16.54,4.35,71.96,1.42,20.41,22.76
2008,Jharkhand,JH,27.1,1.27,41.36,1.07,5.58,5.43
2023,Delhi,DL,16.84,5.99,53.78,1.62,14.93,30.97
2008,Manipur,MN,3.54,0.72,44.67,0.55,16.92,0.21
2023,Tamil Nadu,TN,74.38,4.99,62.56,3.09,20.08,232.19
2012,Andhra Pradesh,AP,45.94,2.45,67.64,1.26,9.45,32.85
2017,Sikkim,SK,2.02,2.17,49.41,1.04,12.06,0.8
2014,Jammu & Kashmir,JK,15.18,1.7,66.96,1.54,17.78,9.48
2015,Chhattisgarh,CG,25.44,1.38,31.42,1.71,12.7,6.49
2022,Andhra Pradesh,AP,51.51,2.82,72.54,1.09,22.63,40.35
2011,Kerala,KL,28.6,1.51,45.26,0.56,9.52,3.82
2011,Meghalaya,ML,3.66,1.17,40.56,1.31,12.75,0.78
2024,Telangana,TG,46.2,6.66,63.5,0.95,25.51,60.3
2007,Telangana,TG,37.1,2.31,30.27,0.31,10.7,3.12
2009,Arunachal Pradesh,AR,2.37,2.52,41.45,1.15,6.96,1.09
2016,Goa,GA,2.61,2.48,69.53,2.0,6.89,3.13
2015,Himachal Pradesh,HP,12.95,1.76,44.77,2.35,12.46,7.95
2006,Himachal Pradesh,HP,11.41,0.99,28.31,1.02,6.42,1.33
2023,Assam,AS,34.39,1.99,70.94,3.82,25.4,61.65
2022,Delhi,DL,16.61,4.33,72.44,1.42,20.49,23.08
2023,Gujarat,GJ,62.95,4.75,50.96,1.98,17.06,95.99
2020,Goa,GA,2.74,1.71,72.14,2.39,16.77,3.17
2011,Nagaland,NL,2.47,2.31,47.43,0.88,10.7,0.96
2021,Maharashtra,MH,125.4,3.07,37.09,3.31,10.99,171.64
2011,Jharkhand,JH,28.85,1.95,40.0,0.34,12.65,2.71
2024,Mizoram,MZ,2.18,3.9,44.39,2.3,16.56,2.82
2010,Jharkhand,JH,28.3,0.94,54.96,0.92,7.66,5.07
2023,West Bengal,WB,85.96,4.26,38.69,3.46,17.0,189.61
2020,Punjab,PB,32.12,3.92,33.36,3.28,18.14,50.53
2008,Maharashtra,MH,110.76,1.49,55.11,1.38,3.29,52.01
2008,Bihar,BR,94.3,3.16,23.42,0.45,6.57,11.92
2020,Delhi,DL,16.57,4.24,50.64,1.84,24.41,23.12
2022,Arunachal Pradesh,AR,2.83,1.55,64.4,1.54,16.01,1.55
2007,Chhattisgarh,CG,23.74,2.24,30.86,1.04,8.33,6.4
2017,Delhi,DL,15.96,3.92,61.1,1.24,18.36,16.09
2017,Rajasthan,RJ,61.36,1.94,44.88,2.66,21.05,43.06
2020,Telangana,TG,44.81,4.46,30.29,3.27,22.33,67.88
2015,Maharashtra,MH,119.58,1.99,47.51,0.44,7.56,18.27
2010,Telangana,TG,38.84,0.84,33.54,0.55,10.63,2.08
2021,Karnataka,KA,61.15,3.47,60.79,2.53,12.63,119.66
2010,Maharashtra,MH,111.05,3.15,25.01,0.57,10.11,17.79
2021,Meghalaya,ML,4.19,2.67,65.07,2.79,18.17,7.74
2013,Odisha,OR,43.95,1.7,32.89,0.45,14.69,3.94
2010,Meghalaya,ML,3.7,0.76,31.43,1.61,17.15,0.48
2018,Tripura,TR,4.02,4.03,60.45,1.88,23.68,6.38
2014,Kerala,KL,29.79,2.17,68.92,1.72,8.67,28.69
2020,Tripura,TR,4.02,1.89,45.17,1.01,13.42,1.25
2020,Karnataka,KA,61.26,2.55,51.63,1.75,22.67,48.32
2024,Maharashtra,MH,130.57,6.87,49.09,3.1,20.97,457.45
2012,Manipur,MN,3.78,1.42,37.01,1.47,5.26,1.05
2008,Delhi,DL,14.18,1.54,40.72,0.42,3.33,1.49
2019,Uttar Pradesh,UP,228.77,2.14,39.22,2.86,8.63,208.84
2013,Telangana,TG,39.82,1.39,28.24,0.51,5.05,3.33
2016,Meghalaya,ML,3.9,2.19,32.25,0.82,9.4,0.91
2016,Meghalaya,ML,3.92,2.19,32.2,0.82,9.39,0.9
2013,Haryana,HR,30.76,1.91,28.1,1.88,21.27,9.33
2021,Madhya Pradesh,MP,76.33,6.4,67.87,2.85,16.59,314.78
2021,Nagaland,NL,2.79,2.07,65.89,3.19,15.47,4.49
2013,Mizoram,MZ,1.87,2.81,26.98,2.0,9.61,1.12
2015,Tamil Nadu,TN,68.49,1.78,24.76,1.28,8.39,13.79
2024,Gujarat,GJ,62.11,6.09,55.18,3.81,25.3,283.22
2022,Arunachal Pradesh,AR,2.85,1.54,64.69,1.55,16.04,1.58
2019,Delhi,DL,16.11,4.7,60.93,2.74,10.27,49.65
2021,Madhya Pradesh,MP,76.07,6.39,67.83,2.83,16.59,322.79
2016,Tamil Nadu,TN,69.39,2.1,43.2,2.15,14.63,43.04
2013,Haryana,HR,30.64,1.9,28.23,1.88,21.19,9.5
2007,Arunachal Pradesh,AR,2.31,0.82,69.61,1.33,7.84,0.64
2016,Punjab,PB,30.16,3.49,46.14,0.73,7.35,12.59
2006,Haryana,HR,28.11,1.25,36.01,0.55,18.1,2.46
2020,Jammu & Kashmir,JK,16.09,4.01,54.29,3.18,22.66,35.84
2005,Himachal Pradesh,HP,11.24,1.93,29.56,0.24,10.21,0.6
2020,Madhya Pradesh,MP,75.1,5.47,63.38,3.16,13.09,311.33
2006,Bihar,BR,90.51,1.96,56.81,0.99,8.43,33.83
2006,Arunachal Pradesh,AR,2.27,1.09,46.29,0.75,17.59,0.29
2006,Uttarakhand,UK,11.61,2.19,33.47,0.43,10.82,1.4
2022,Rajasthan,RJ,65.44,3.89,48.48,1.17,23.6,51.69
2018,Bihar,BR,105.81,2.81,67.27,0.54,9.48,39.74
2013,Haryana,HR,30.76,1.89,27.99,1.89,21.34,9.48
2009,Mizoram,MZ,1.83,2.27,36.76,0.32,12.38,0.18
2013,Maharashtra,MH,114.76,2.12,31.8,1.66,17.13,41.8
2021,West Bengal,WB,87.62,4.41,64.69,1.62,9.24,153.86
2014,Gujarat,GJ,55.51,3.24,55.16,1.89,12.89,66.87
2020,Chhattisgarh,CG,27.47,3.76,61.12,3.0,22.23,61.35
2011,Delhi,DL,14.89,2.65,54.4,0.71,5.84,5.56
2010,Haryana,HR,29.21,2.7,46.57,1.22,19.61,14.78
2012,Jammu & Kashmir,JK,15.07,1.66,22.55,1.13,10.55,2.37
2013,Madhya Pradesh,MP,70.19,1.76,60.13,1.86,10.29,47.08
2016,Delhi,DL,16.0,2.0,63.33,1.56,12.85,10.54
2021,Uttar Pradesh,UP,235.67,7.38,63.97,1.02,16.27,407.84
2008,Bihar,BR,94.76,3.17,23.39,0.45,6.51,11.81
2013,Himachal Pradesh,HP,12.81,1.91,44.13,1.32,18.63,5.16
2014,Haryana,HR,30.89,3.55,57.5,0.56,20.38,12.61
2006,Maharashtra,MH,105.5,1.82,20.05,0.63,11.53,9.15
2017,Tripura,TR,4.06,2.57,33.71,2.37,17.79,2.75
2020,Himachal Pradesh,HP,13.66,3.83,35.7,0.89,22.94,5.98
2009,Punjab,PB,28.09,2.73,60.76,0.35,7.9,6.47
2023,Sikkim,SK,2.1,4.25,62.13,1.6,15.84,3.17
2017,Assam,AS,32.0,1.25,50.23,0.87,16.91,6.7
2006,Haryana,HR,28.17,1.25,35.99,0.55,18.0,2.45
2024,Jharkhand,JH,32.29,6.7,64.4,2.9,18.39,152.57
2012,Gujarat,GJ,54.91,2.03,29.36,0.52,16.54,6.05
2024,Madhya Pradesh,MP,78.99,4.09,58.38,0.74,15.97,44.96
2005,Uttarakhand,UK,11.56,1.85,27.04,1.07,11.31,2.12
2007,West Bengal,WB,72.13,0.98,62.14,0.32,10.71,4.76
2011,Manipur,MN,3.75,1.99,27.13,1.36,13.79,1.05
2023,Andhra Pradesh,AP,51.21,2.11,33.22,2.86,15.06,37.81
2010,West Bengal,WB,74.43,1.72,50.93,0.45,4.98,11.98
2013,Mizoram,MZ,1.89,2.82,27.01,2.01,9.61,1.13
2006,Tripura,TR,3.54,2.0,35.33,0.36,6.15,0.34
2014,Uttarakhand,UK,12.78,3.35,67.2,0.61,6.97,6.22
2023,Goa,GA,2.85,2.49,60.35,0.71,11.37,1.25
2006,Andhra Pradesh,AP,43.41,0.89,54.96,0.68,14.4,4.93
2016,Nagaland,NL,2.58,2.18,72.64,2.31,22.27,3.25
2023,Mizoram,MZ,2.13,5.64,66.11,3.1,21.59,9.23
2016,Haryana,HR,31.67,1.11,26.25,1.32,20.03,4.21
2006,Tamil Nadu,TN,62.53,2.6,21.53,0.91,9.72,11.83
2024,Assam,AS,34.25,5.79,68.36,2.02,15.58,100.91
2007,Gujarat,GJ,52.6,1.28,44.86,1.02,4.18,12.05
2012,Andhra Pradesh,AP,46.07,2.46,67.31,1.26,9.37,32.94
